id,label,model list,text
2016218,Seats And Restraints,"['CHRYSLER TOWN & COUNTRY 2016', 'DODGE GRAND CARAVAN 2016']","on certain vehicles, fasteners which secure the third-row seat back assembly to the seat cushion assembly may not have been tightened to specification during assembly. this could potentially result in the third row seatback frame separating from the seat cushion frame during a crash, which could increase the risk of injury to vehicle occupants. correction: dealers will inspect and tighten fasteners to specification."
2016265,Airbag,"['CHRYSLER 300 2005', 'CHRYSLER 300 2006', 'CHRYSLER 300 2007', 'CHRYSLER 300 2008', 'CHRYSLER 300 2009', 'CHRYSLER 300 2010', 'CHRYSLER 300 2011', 'CHRYSLER 300 2012', 'CHRYSLER ASPEN 2007', 'CHRYSLER ASPEN 2008', 'CHRYSLER ASPEN 2009', 'DODGE CHALLENGER 2008', 'DODGE CHALLENGER 2009', 'DODGE CHALLENGER 2010', 'DODGE CHALLENGER 2011', 'DODGE CHALLENGER 2012', 'DODGE CHARGER 2006', 'DODGE CHARGER 2007', 'DODGE CHARGER 2008', 'DODGE CHARGER 2009', 'DODGE CHARGER 2010', 'DODGE CHARGER 2011', 'DODGE CHARGER 2012', 'DODGE DAKOTA 2005', 'DODGE DAKOTA 2006', 'DODGE DAKOTA 2007', 'DODGE DAKOTA 2008', 'DODGE DAKOTA 2009', 'DODGE DAKOTA 2010', 'DODGE DAKOTA 2011', 'DODGE DURANGO 2004', 'DODGE DURANGO 2005', 'DODGE DURANGO 2006', 'DODGE DURANGO 2007', 'DODGE DURANGO 2008', 'DODGE DURANGO 2009', 'DODGE MAGNUM 2005', 'DODGE MAGNUM 2006', 'DODGE MAGNUM 2007', 'DODGE MAGNUM 2008', 'DODGE RAM 2004', 'DODGE RAM 2005', 'DODGE RAM 2006', 'DODGE RAM 2007', 'DODGE RAM 2008', 'DODGE RAM 2009', 'DODGE RAM 2010', 'DODGE SPRINTER 2009', 'JEEP WRANGLER 2007', 'JEEP WRANGLER 2008', 'JEEP WRANGLER 2009', 'JEEP WRANGLER 2010', 'JEEP WRANGLER 2011', 'JEEP WRANGLER 2012', 'RAM 1500 2004', 'RAM 1500 2005', 'RAM 1500 2006', 'RAM 1500 2007', 'RAM 1500 2008', 'RAM 2500 2005', 'RAM 2500 2006', 'RAM 2500 2007', 'RAM 2500 2008', 'RAM 2500 2009', 'RAM 3500 2006', 'RAM 3500 2007', 'RAM 3500 2008', 'RAM 3500 2009', 'RAM 4500 2008', 'RAM 4500 2009', 'RAM 4500 2010', 'RAM 5500 2008', 'RAM 5500 2009', 'RAM 5500 2010']","on certain vehicles, long-term exposure to high absolute humidity and temperature, combined with high temperature cycling, could eventually degrade the propellant contained in the passenger frontal airbag. this could cause the airbag to deploy with more force than normal. as a result, if the vehicle were involved in a collision that warrants airbag deployment, fragments could be propelled toward vehicle occupants, and the airbag assembly could be damaged, preventing proper function. these issues could increase the risk of injury. correction: dealers will replace the airbag inflator.  note: canadian climate results in the propellant degrading slowly. the recall is being conducted as a precaution to address future risk, and is expected to replace airbag inflators before their function would be affected."
2016306,Powertrain,"['CHRYSLER TOWN & COUNTRY 2015', 'CHRYSLER TOWN & COUNTRY 2016', 'DODGE GRAND CARAVAN 2015', 'DODGE GRAND CARAVAN 2016', 'DODGE JOURNEY 2015', 'DODGE JOURNEY 2016', 'RAM PROMASTER 2015', 'RAM PROMASTER 2016']","on certain vehicles, a defect may cause the transmission pump rotor to seize or break, resulting in a loss of transmission pressure. this could result in a loss of motive power which, in conjunction with traffic and road conditions, and the driver's reactions may increase the risk of a crash causing injury. correction: dealers will replace the transmission pump assembly."
2016336,Seats And Restraints,['CHRYSLER PACIFICA 2017'],"on certain vehicles, the middle passenger overhead seat belt stow clip may fracture, which could trap the latch plate and prevent the use of the seat belts in the center second-row or centre third-row. the inability to use the second or third-row centre seat belt may increase the risk of injury to occupants in the event a crash. correction: dealers will replace the second and third row overhead seat belt bezels with a new bezel with improved material properties."
2016338,Airbag,['CHRYSLER SEBRING 2001'],"on certain two-door coupe vehicles, in the event of a collision that warrants a deployment of the front passenger airbag, the deploying airbag could strike the passenger sun visor if it is in the down position. this could cause the sun visor to detach from its mounting bracket, potentially contacting an occupant, which would increase the risk of injury.  correction:  dealers will add a tether strap to the passenger sun visor. note: this is an expansion of recall 2015267."
2016361,Powertrain,"['CHRYSLER 200 2015', 'FIAT 500X 2016', 'JEEP CHEROKEE 2014', 'JEEP CHEROKEE 2015', 'JEEP RENEGADE 2015', 'RAM PROMASTER CITY 2015']","on certain vehicles equipped with an automatic transmission, the transmission wire harness may have improper crimps. this could cause an unexpected shift to neutral which could result in a loss of motive power, which in conjunction with traffic and road conditions, and the driver's reactions may increase the risk of a crash. correction: dealers will update the software of the transmission control module (tcm), and replace the transaxle wire harness as necessary."
2016392,Suspension,['CHRYSLER 200 2016'],"on certain vehicles, the suspension fastener torque and/or tightening angle may not have been verified at time of assembly. if fasteners were improperly tightened, they may become loose and fatigue over time or fall out, which could affect vehicle handling and increase the risk of a crash causing injury and/or property damage. correction: dealers will inspect the suspect fasteners and replace or tighten them to specification as necessary."
2016448,Airbag,"['CHRYSLER 200 2011', 'CHRYSLER 200 2012', 'CHRYSLER 200 2013', 'CHRYSLER 200 2014', 'CHRYSLER SEBRING 2010', 'DODGE AVENGER 2010', 'DODGE AVENGER 2011', 'DODGE AVENGER 2012', 'DODGE AVENGER 2013', 'DODGE AVENGER 2014', 'DODGE CALIBER 2010', 'DODGE CALIBER 2011', 'DODGE CALIBER 2012', 'JEEP COMPASS 2010', 'JEEP COMPASS 2011', 'JEEP COMPASS 2012', 'JEEP COMPASS 2013', 'JEEP COMPASS 2014', 'JEEP PATRIOT 2010', 'JEEP PATRIOT 2011', 'JEEP PATRIOT 2012', 'JEEP PATRIOT 2013', 'JEEP PATRIOT 2014']","on certain vehicles in certain types of crashes, airbag and seatbelt pretensioner deployment capability may be lost due to a short in the front impact sensor wiring affecting occupant restraint controller function. failure of airbags and seatbelt pretensioners to deploy in a crash (when warranted) could increase the risk of injury. correction: dealers will replace the occupant restraint controller module."
2016575,Fuel Supply,"['CHRYSLER TOWN & COUNTRY 2010', 'CHRYSLER TOWN & COUNTRY 2011', 'CHRYSLER TOWN & COUNTRY 2012', 'CHRYSLER TOWN & COUNTRY 2013', 'CHRYSLER TOWN & COUNTRY 2014', 'CHRYSLER TOWN & COUNTRY 2015', 'CHRYSLER TOWN & COUNTRY 2016', 'DODGE GRAND CARAVAN 2010', 'DODGE GRAND CARAVAN 2011', 'DODGE GRAND CARAVAN 2012', 'DODGE GRAND CARAVAN 2013', 'DODGE GRAND CARAVAN 2014', 'DODGE GRAND CARAVAN 2015', 'DODGE GRAND CARAVAN 2016', 'ELDORADO MOBILITY AMERIVAN 10 2010', 'ELDORADO MOBILITY AMERIVAN 10 2011', 'ELDORADO MOBILITY AMERIVAN 10 2012', 'ELDORADO MOBILITY AMERIVAN 10 2013', 'ELDORADO MOBILITY AMERIVAN 10 2014', 'ELDORADO MOBILITY AMERIVAN 10 2015', 'ELDORADO MOBILITY AMERIVAN 10 2016']","on certain amerivan 10 wheelchair accessible vehicles built on dodge grand caravan and chrysler town and country platforms, the crimp fasteners used to retain fittings in the fuel line may not be fully crimped or compressed. this could result in a fuel leak. leaking fuel, in the presence of an ignition source, could lead to a fire causing injury and/or damage to property. correction: dealers will inspect fasteners and crimp the fasteners further to ensure they are fully compressed and seated."
2016658,Airbag,"['CHRYSLER ASPEN 2009', 'DODGE DURANGO 2009', 'RAM 3500 2010']","on certain vehicles, long-term exposure to high absolute humidity and temperature, combined with high temperature cycling, could eventually degrade the propellant contained in the driver frontal airbag. this could cause the airbag to deploy with more force than normal. as a result, if the vehicle were involved in a collision that warrants airbag deployment, fragments could be propelled toward vehicle occupants, and the airbag assembly could be damaged, preventing proper function. these issues could increase the risk of injury. correction: dealers will replace the driver frontal airbag inflator. note: this is an expansion of recall 2015-228. only ram 3500 cab chassis models are affected. as canadian climate results in the propellant degrading slowly, the recall is being conducted as a precaution to address future risk, and is expected to replace airbag inflators before their function would be affected."
